4000
4040
3960
Degree,Service_Time,Time
1,16002,0
4,4000,200
4,4000,400
4,4000,600
4,4000,800
4,4000,1000
4,4000,1200
4,4000,1400
4,4000,1600
4,4000,1800
4,4000,2000
4,4000,2200
4,4000,2400
4,4000,2600
4,4000,2800
4,4000,3000
4,4000,3200
4,4000,3400
4,4000,3600
4,4000,3800
4,4000,4000
4,4000,4200
4,4000,4400
4,4000,4600
4,4000,4800
4,4000,5000
4,4000,5200
4,4000,5400
4,4000,5600
4,4000,5800
4,4000,6000
4,4000,6200
4,4000,6400
4,4000,6600
4,4000,6800
4,4000,7000
4,4000,7200
4,4000,7400
4,4000,7600
4,4000,7800
4,4000,8000
4,4000,8200
4,4000,8400
4,4000,8600
4,4000,8800
4,4000,9000
4,4000,9200
4,4000,9400
4,4000,9600
4,4000,9800
4,4000,10000
4,4000,10200
4,4000,10400
4,4000,10600
4,4000,10800
4,4000,11000
4,4000,11200
4,4000,11400
4,4000,11600
4,4000,11800
4,4000,12000
4,4000,12200
4,4000,12400
4,4000,12600
4,4000,12800
4,1000,13000
4,1000,13200
4,1000,13400
4,1000,13600
4,1000,13800
4,1000,14000
4,1000,14200
4,1000,14400
4,1000,14600
4,1000,14800
4,1000,15000
4,1000,15200
4,1000,15400
4,1000,15600
4,1000,15800
4,1000,16000
4,1000,16200
4,8000,16400
4,8000,16600
5,6400,16800
6,5333,17000
6,5333,17200
7,4571,17400
8,4000,17600
8,4000,17800
8,4000,18000
8,4000,18200
8,4000,18400
8,4000,18600
8,4000,18800
8,4000,19000
8,4000,19200
8,4000,19400
8,4000,19600
8,4000,19800
8,4000,20000
8,4000,20200
8,4000,20400
8,4000,20600
8,4000,20800
8,4000,21000
8,4000,21200
8,4000,21400
8,4000,21600
8,4000,21800
8,4000,22000
8,4000,22200
8,4000,22400
8,4000,22600
8,4000,22800
8,4000,23000
8,4000,23200
8,4000,23400
8,4044,23600
8,4001,23800
8,4000,24000
8,4000,24200
8,4000,24400
8,4000,24600
8,4000,24800
8,4000,25000
8,4000,25200
8,4000,25400
8,4000,25600
8,4000,25800
8,4000,26000
8,4000,26200
8,4000,26400
8,4000,26600
8,4006,26800
8,4000,27000
8,4124,27200
8,4154,27400
8,4000,27600
8,4000,27800
8,4000,28000
8,4000,28200
8,4000,28400
8,4000,28600
8,4000,28800
8,4021,29000
8,4000,29200
8,4002,29400
8,4047,29600
8,4087,29800
